,Census Tract,Total Population,California County,County,countytrim,ZIP,Longitude,Latitude,Ozone,PM2.5,Diesel PM,Drinking Water,Pesticides,Tox. Release,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
1047,6037234700,3888,Los Angeles,Los Angeles County,Los Angeles,90043,-118.3276852,33.9872213,0.046,12.05,16.12,701.44,0,3245.355351,881.1,0.9,0,0.425,0,8.5,121.88,10.23,9.07,30.3,3.3,52.6,9.9,30.3
1048,6037533502,2143,Los Angeles,Los Angeles County,Los Angeles,90255,-118.1948545,33.9850347,0.046,12.05,23.1,308.09,0,12114.59179,1301.13,14.3,4.5,0.135,7,0,59.19,3.89,11.02,55.7,37.7,45.2,10.5,26.5
1049,6025011100,3685,Imperial ,Imperial County,Imperial,92243,-115.6765631,32.785558,0.053,8.69794377,2.08,469.57,991.38,67.55181504,379.73,17,57.25,0,21,8,104.62,4.62,13.35,32.8,20.1,54.9,14.9,12.5
1050,6037530302,6556,Los Angeles,Los Angeles County,Los Angeles,90022,-118.1479458,34.0278115,0.046,12.05,33.38,645.35,0,13227.66914,1339.86,0,3,0.1,0,0,62.41,5.17,12.06,41.6,16,54,14.7,24.5
1051,6037191410,5092,Los Angeles,Los Angeles County,Los Angeles,90029,-118.2881169,34.0887621,0.048,12.89,29.34,664.07,0,2946.429293,946.85,0.5,7,0.135,0,0.5,66.96,4.46,10.04,39.9,28.7,67.2,11.9,25.8
1052,6037121600,3005,Los Angeles,Los Angeles County,Los Angeles,91605,-118.4105915,34.211069,0.055,11.63,21.73,618.05,0.02,1009.447872,2535.48,12.6,12.45,0.97,4,1.2,78.9,4.71,13.7,13.1,11.3,20.2,6.1,22.6
1053,6071006302,8815,San Bernardino,San Bernardino County,San Bernardino,92404,-117.2541147,34.1268693,0.065,12.05,15.52,975.64,0.24,668.3317497,557.46,3.2,0,0,0,0.5,110.49,5.61,13.73,36.3,6.7,65.8,13.7,31.1
1054,6073004700,1858,San Diego,San Diego County,San Diego,92102,-117.1450748,32.7083889,0.038,11.21,110.8,228.07,0,339.8020935,1483.95,8.65,96.25,2.17,1,3.7,87.92,4.94,7.59,44.9,16.1,63.5,7.8,39.1
1055,6037603400,4367,Los Angeles,Los Angeles County,Los Angeles,90249,-118.3134339,33.8934711,0.044,12.05,22.994,255.67,0,6416.321198,946.55,4.5,28.25,0.32,7,2.75,73.09,6.75,8.98,15.9,8.8,40.7,10.1,18
1056,6001408900,3414,Alameda ,Alameda County,Alameda,94621,-122.1887803,37.7541816,0.03,8.69794377,38.045,70.6,0,796.6019919,469.47,37,31.3,2.075,1,7,161.73,4.64,11.56,34.9,18,73.5,17.7,41.6
1057,6037504101,5126,Los Angeles,Los Angeles County,Los Angeles,90638,-118.033316,33.9099095,0.046,11.63,25.561,490.84,0,5476.354972,609.88,14,6.1,0.88,2,8.5,39.28,7.23,10.78,26.3,18.2,30.6,8.2,21.5
1058,6025012100,6937,Imperial ,Imperial County,Imperial,92231,-115.4976096,32.6767102,0.053,13.73,7.239,287,0,429.7581783,1715.53,1.2,23,0,21,0,51.9,4.79,13.19,50.3,54.8,83.6,26.9,26.5
1059,6037551900,5344,Los Angeles,Los Angeles County,Los Angeles,90650,-118.1046032,33.9105501,0.044,12.05,26.92,482.57,1.35,5441.043231,2337.24,7,3,0.06,3,0.5,62.88,5.27,13.42,23.4,15.6,35.1,9.2,17.9
1060,6059110606,4590,Orange ,Orange County,Orange,90621,-118.0045274,33.8774063,0.046,11.21,31.39,252.42,0,6050.799304,1229.01,17.2,11.25,1.9,7,0.4,55.05,5.81,8.01,29.3,33.9,49.6,5.7,23.8
1061,6019007500,5287,Fresno ,Fresno County,Fresno,93609,-119.8284031,36.5336682,0.062,15.82,7.139,862.51,2939.61,549.217642,112.22,0,0,0,0,4,88.4,5.49,12.8,44.9,19.2,58,15.8,15.3
1062,6037213401,4951,Los Angeles,Los Angeles County,Los Angeles,90006,-118.2879026,34.0537069,0.046,12.89,60.69,664.07,0,3563.886575,1706.79,7.55,0.75,0,0,0,56.69,6.27,6.98,49.6,55,72.3,13.6,25.2
1063,6037603900,7527,Los Angeles,Los Angeles County,Los Angeles,90260,-118.35763,33.894766,0.044,12.05,27.18,368.57,0,5151.48331,2160.69,4.6,30.8,0.15,0,2.5,62.52,5.56,8.84,30.5,15.7,54,7.8,25.2
1064,6037238000,5864,Los Angeles,Los Angeles County,Los Angeles,90047,-118.3097251,33.9472944,0.046,12.05,18.08,695.53,1.47,4685.838196,1058.01,0.7,0,0.01,0,0,136.3,10,10.85,19,9.3,41.1,15.5,35.8
1065,6037532200,6836,Los Angeles,Los Angeles County,Los Angeles,90640,-118.1226036,33.9867681,0.046,12.05,24.346,295.23,0.03,9241.954845,2374.77,9,55,1.38,8,22.7,44.19,2.57,8.71,37.1,22.1,59.3,5.9,24.3
1066,6115040400,5538,Yuba ,Yuba County,Yuba,95961,-121.5826165,39.0999148,0.048,8.69794377,8.715,859.97,587.4,0.498001387,354.57,2.5,30.65,0.135,5,6.8,44.66,6.25,13.31,28.3,6.5,71.5,17.8,22.5
1067,6019006604,7959,Fresno ,Fresno County,Fresno,93654,-119.4393739,36.6045254,0.065,16.24,8.982,483.49,805.98,793.3513099,230.37,1.15,18,0,2,1,63.19,4.6,9.31,59,37.2,70.6,19.2,19.6
1068,6037241110,3074,Los Angeles,Los Angeles County,Los Angeles,90061,-118.2716976,33.936494,0.044,12.05,24.76,664.07,0,5264.933899,587.94,0,3,0,6,0.3,86.19,6.36,11.15,50.6,14.5,66.7,10.9,48
1069,6037195804,2643,Los Angeles,Los Angeles County,Los Angeles,90026,-118.2728192,34.0787744,0.046,12.89,29.34,664.07,0,3503.197781,2538.29,11.35,1.3,0.01,8,0,55.22,6.34,7.85,16.1,16.1,47.3,12.2,22.6
1070,6077003313,2926,San Joaquin,San Joaquin County,San Joaquin,95207,-121.2955499,37.9973494,0.048,13.44,17.137,510.12,0,430.747392,636.59,3.5,3,0.025,6,0,88.07,7.76,10.04,28.9,20.2,65.8,22.2,33.2
1071,6029000101,12240,Kern ,Kern County,Kern,93308,-119.0511858,35.4411814,0.062,18.76,21.556,485.01,137.6,87.70489136,512.29,31.7,80.15,11.445,0,2,80.97,5.32,11.73,11.5,1.5,30.4,8.7,16.8
1072,6059074300,4392,Orange ,Orange County,Orange,92707,-117.8602323,33.7196057,0.046,10.37,21.41,377.39,0,40097.69552,959.76,68.05,75.65,1.085,0,1.25,44.68,6.27,7.39,52,15.7,49.2,9.5,23.5
1073,6037221304,3319,Los Angeles,Los Angeles County,Los Angeles,90019,-118.3146461,34.045362,0.048,12.89,29.76,664.07,0,2786.822426,1113.63,4.5,0,0.01,0,0,66.41,6.02,8.61,35.1,31.5,65.1,13,34.7
